127.0.0.1 - - [15/Dec/2024:11:58:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:58:35 +0530] "GET /webProject/index.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:58:35 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:11:58:35 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 200 1715541
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:02 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:02 +0530] "GET /webProject/style.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:02 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:55 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:55 +0530] "GET /webProject/style.css HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:55 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:56 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:56 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:00:56 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:01:34 +0530] "GET /webProject/index.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:01:34 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:01:34 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:14 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:14 +0530] "GET /webProject/style.css HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:14 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:48 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:48 +0530] "GET /webProject/style.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:02:48 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:05 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:05 +0530] "GET /webProject/style.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:05 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:06 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:06 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:06 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:12 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:12 +0530] "GET /webProject/style.css HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:12 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:45 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:45 +0530] "GET /webProject/style.css HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:45 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:46 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:46 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:46 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:55 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:55 +0530] "GET /webProject/style.css HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:03:55 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:07 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:07 +0530] "GET /webProject/style.css HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:07 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:57 +0530] "GET /webProject/index.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:57 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:04:57 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:28 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:28 +0530] "GET /webProject/style.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:28 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
